episode_id,step,reward_mean_0,reward_mean_1,reward_total_0,reward_total_1,episode_length_steps,avg_speed_0_kmh,avg_speed_1_kmh,max_speed_0_kmh,max_speed_1_kmh,avg_angle_0_rad,avg_angle_1_rad,laps_0,laps_1,overtakes_0,overtakes_1,min_distance_m,avg_distance_m,pct_leader_0,pct_leader_1,max_meters_traveled_0,max_meters_traveled_1,max_progress_pct_0,max_progress_pct_1,best_lap_time_0_s,best_lap_time_1_s,policy_loss,value_loss,reason
26,1053,0.0692,0.2943,3.19,13.54,46,29.92,33.04,34.43,37.33,0.117,0.153,0,0,0,0,2.93,0.43,78.3,21.7,NaN,NaN,NaN,NaN,NaN,NaN,0.11581,15.37177,wall_collision
27,1102,0.0876,0.2964,4.29,14.52,49,30.89,31.83,35.07,34.21,0.137,0.081,0,0,0,0,6.82,0.16,91.8,8.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
28,1149,-1.8302,-1.6759,-86.02,-78.77,47,28.38,28.67,34.04,34.21,0.114,0.215,0,0,0,0,2.28,0.34,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
29,1181,-1.3589,-1.3807,-43.48,-44.18,32,31.71,32.45,34.22,34.43,0.046,0.151,0,0,0,0,2.12,0.12,93.8,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
30,1227,0.2995,0.0739,13.78,3.40,46,31.77,32.75,34.42,35.36,0.074,0.106,0,0,0,0,5.99,0.22,93.5,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
31,1263,-0.9859,0.2727,-35.49,9.82,36,17.18,31.15,34.29,34.21,0.374,0.202,0,0,0,0,6.00,2.11,52.8,47.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
32,1295,-0.0825,-0.1891,-2.64,-6.05,32,31.68,15.23,34.44,30.23,0.155,0.388,0,0,0,0,10.81,3.00,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
33,1335,-0.2835,-0.5421,-11.34,-21.69,40,31.85,30.25,34.49,34.41,0.106,0.210,0,0,0,0,2.65,0.35,95.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
34,1367,0.3016,-1.9868,9.65,-63.58,32,31.02,24.07,34.26,34.21,0.091,0.274,0,0,0,0,7.32,0.37,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
35,1434,0.2276,-0.0998,15.25,-6.68,67,35.00,29.82,41.30,34.21,0.111,0.301,0,0,0,0,4.70,1.85,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
36,1474,-1.1134,-0.8863,-44.54,-35.45,40,29.75,30.00,34.45,34.21,0.189,0.137,0,0,0,0,3.18,0.15,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
37,1533,0.0768,0.1279,4.53,7.54,59,31.15,33.69,34.23,39.28,0.125,0.071,0,0,0,0,3.43,0.54,72.9,27.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
38,1601,0.1264,0.1523,8.59,10.36,68,30.26,32.70,34.23,36.38,0.083,0.146,0,0,0,0,2.93,0.65,67.6,32.4,NaN,NaN,NaN,NaN,NaN,NaN,-0.12851,11.03444,car_collision
39,1633,-2.0428,-2.0242,-65.37,-64.77,32,31.28,31.92,34.41,34.43,0.131,0.048,0,0,0,0,2.01,0.19,90.6,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,car_collision
40,1713,-1.3393,-1.2071,-107.14,-96.57,80,32.00,31.65,40.29,34.76,0.163,0.159,0,0,0,0,2.02,0.12,98.8,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
41,1762,0.0977,0.2954,4.79,14.48,49,32.74,31.90,36.04,34.27,0.103,0.105,0,0,0,0,6.50,0.12,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wall_collision
